,revid,parentid,timestamp,user,temp,comment,size,sha1,flags,intro_text,minor
10,1246501865,1244239474,2024-09-19T09:52:17Z,Wbm1058,False,,98,437eb29703644a2a44748496ffdf5bb17770568f,,REDIRECT Twitter,False
11,1244239474,1244239153,2024-09-05T21:44:46Z,Trailblazer101,False,,117,4633279d89f68136c8da9243afd0fb9aa36d4b96,,REDIRECT Twitter,False
12,1244239153,1242276602,2024-09-05T21:42:04Z,Gahex220,False,,16188,b5c690a3851131539eb1d33c6d3e9431190ada5d,,"X, formally known as Twitter, is a social networking service. It is one of the world's largest social media websites and one of the most visited websites in the world. Users can share short text messages, images, and videos in posts (formerly ""tweets"") and like or repost/retweet other users' content. X also includes direct messaging, video and audio calling, bookmarks, lists and communities, and Spaces, a social audio feature. Users can vote on context added by approved users using the Community Notes feature.Twitter was created in March 2006 by Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams, and was launched in July of that year. Twitter grew quickly; by 2012 more than 100 million users produced 340 million tweets per day. Twitter, Inc., was based in San Francisco, California, and had more than 25 offices around the world. A signature characteristic of the service initially was that posts were required to be brief. Posts were initially limited to 140 characters, which was changed to 280 characters in 2017.  The limitation was removed for subscribed accounts in 2023. The majority of tweets are produced by a minority of users. In 2020, it was estimated that approximately 48 million accounts (15% of all accounts) were run by internet bots rather than humans.The service is owned by the American company X Corp., which was established to succeed the prior owner Twitter, Inc. in March 2023 following the October 2022 acquisition of Twitter by Elon Musk for US$44 billion. Musk stated that his goal with the acquisition was to promote free speech on the platform. Since his acquisition, the platform has been criticized for enabling the increased spread of disinformation and hate speech. Linda Yaccarino succeeded Musk as CEO on June 5, 2023, with Musk remaining as the chairman and the chief technology officer. In July 2023, Musk announced that Twitter would be rebranded to X and the bird logo would be retired. Branding changes were rolled out over the following year and completed in May 2024. In December 2023, Fidelity estimated the value of the company to be down 71.5% from its purchase price. Since Musk's takeover, data from app-tracking firms has shown that global usage of X has declined by approximately 15%, compared to a decline of 5–10% in some other social media sites. X has disputed that usage has dropped at all, with Musk claiming that the site had grown to 600 million users  post on X.",False
13,1242276602,1240581983,2024-08-25T23:15:32Z,Trailblazer101,False,,117,4633279d89f68136c8da9243afd0fb9aa36d4b96,,REDIRECT Twitter,False
14,1240581983,1240581932,2024-08-16T04:55:52Z,InfiniteNexus,False,,114,78c3cd56e6bc44358e8a6a2c5fe1deeb0384314e,,REDIRECT Twitter,False
15,1240581932,1240475818,2024-08-16T04:55:28Z,InfiniteNexus,False,,93,eed20c7c1065c1eb87239024b6a44e2e759af320,,REDIRECT Twitter,False
16,1240475818,1240470191,2024-08-15T15:11:42Z,Trailblazer101,False,,114,78c3cd56e6bc44358e8a6a2c5fe1deeb0384314e,,REDIRECT Twitter,False
17,1240470191,1240296755,2024-08-15T14:29:54Z,Anthony2106,False,,130,1946d84a327438ebed27574b13236711020eec3a,,REDIRECT Twitter under Elon Musk,False
18,1240296755,1240296733,2024-08-14T17:06:58Z,2600:1014:B150:8BA1:34E7:673:48D3:FED2,False,,114,78c3cd56e6bc44358e8a6a2c5fe1deeb0384314e,,REDIRECT Twitter,False
19,1240296733,1240296684,2024-08-14T17:06:45Z,2600:1014:B150:8BA1:34E7:673:48D3:FED2,False,,115,d639ff0e72693b8ecaeb9673c8f040325e858fc0,,REDIRECT Twitter,False
20,1240296684,1239702191,2024-08-14T17:06:19Z,2600:1014:B150:8BA1:34E7:673:48D3:FED2,False,,95,2137edb43e5c6cbfd42a3fcfc3cca68ef52cd305,,REDIRECT Twitter,False
21,1239702191,1239697343,2024-08-10T23:45:09Z,Trailblazer101,False,,93,eed20c7c1065c1eb87239024b6a44e2e759af320,,REDIRECT Twitter,False
22,1239697343,1233458345,2024-08-10T22:57:51Z,InfiniteNexus,False,,76,5a8982a741742e0387b29a18b487c6e4e88e4a0b,,REDIRECT Twitter,False
23,1233458345,1233439736,2024-07-09T05:17:30Z,DaCrashy,False,,74,28f75bbc6e899bf3646c422613bc5af251aa40f0,,REDIRECT Twitter,False
24,1233439736,1233439682,2024-07-09T02:16:18Z,40.142.158.123,False,,101,8e62c20a2f190a7e3ee3ea4d69ed5a54adb0ae4b,,REDIRECT Twitter,False
25,1233439682,1233439649,2024-07-09T02:15:56Z,40.142.158.123,False,,74,28f75bbc6e899bf3646c422613bc5af251aa40f0,,REDIRECT Twitter,False
26,1233439649,1233439640,2024-07-09T02:15:41Z,ClueBot NG,False,,78,a6757d3650d364c19aa5347bf227fd56a9dea33b,,REDIRECT Twitter,True
27,1233439640,1231992243,2024-07-09T02:15:38Z,40.142.158.123,False,,74,28f75bbc6e899bf3646c422613bc5af251aa40f0,,REDIRECT Twitter,False
28,1231992243,1231992194,2024-07-01T10:35:42Z,103.49.200.34,False,,78,a6757d3650d364c19aa5347bf227fd56a9dea33b,,REDIRECT Twitter,False
29,1231992194,1230054151,2024-07-01T10:35:19Z,103.49.200.34,False,,78,7bb01dc22a5bccc930426fffac2b5dca34eb360b,,REDIRECT T Music,False
30,1230054151,1229950007,2024-06-20T10:02:58Z,Thryduulf,False,,78,a6757d3650d364c19aa5347bf227fd56a9dea33b,,REDIRECT Twitter,False
31,1229950007,1229914435,2024-06-19T17:02:26Z,Web-julio,False,,547,10bcb255245fc7c4d2cbe67ad10e5f2ea0f6c002,,{{safesubst:#invoke:RfD|||month = June|day = 19|year = 2024|time = 17:02|timestamp = 20240619170226|content=REDIRECT Twitter}},False
32,1229914435,1229914224,2024-06-19T11:48:19Z,Amakuru,False,,78,a6757d3650d364c19aa5347bf227fd56a9dea33b,,REDIRECT Twitter,False
33,1229914224,1227205119,2024-06-19T11:46:17Z,Amakuru,False,,140,15cebcb99892b55d72c314e5f6919d130e17c881,,REDIRECT X (social network),True
34,1227205119,1226860972,2024-06-04T11:09:57Z,Paine Ellsworth,False,,140,15cebcb99892b55d72c314e5f6919d130e17c881,,REDIRECT X (social network),False
35,1226860972,1226860800,2024-06-02T07:52:55Z,SilverLocust,False,,80,5ae047b1f4864157e200623b7fbd66cb0a2f579c,,REDIRECT X (social network),False
36,1226860800,1226860775,2024-06-02T07:51:27Z,SilverLocust,False,,76,5a8982a741742e0387b29a18b487c6e4e88e4a0b,,REDIRECT Twitter,True
37,1226860775,1226263719,2024-06-02T07:51:18Z,SilverLocust,False,,76,5a8982a741742e0387b29a18b487c6e4e88e4a0b,,REDIRECT Twitter,True
38,1226263719,1226167677,2024-05-29T15:04:37Z,Amakuru,False,,76,5a8982a741742e0387b29a18b487c6e4e88e4a0b,,REDIRECT Twitter,False
39,1226167677,1225662273,2024-05-28T23:34:05Z,ColdestWinterChill,False,,92,bc1b8cdda1b87e4932ebdf176c584933594b8652,,REDIRECT Twitter under Elon Musk,False
40,1225662273,1225648543,2024-05-25T22:39:20Z,InfiniteNexus,False,,76,5a8982a741742e0387b29a18b487c6e4e88e4a0b,,REDIRECT Twitter,False
41,1225648543,1225199344,2024-05-25T20:49:42Z,Certes,False,,92,bc1b8cdda1b87e4932ebdf176c584933594b8652,,REDIRECT Twitter under Elon Musk,False
42,1225199344,1224921308,2024-05-22T23:40:53Z,InfiniteNexus,False,,76,5a8982a741742e0387b29a18b487c6e4e88e4a0b,,REDIRECT Twitter,True
43,1224921308,1224921232,2024-05-21T08:46:38Z,2A01:5A8:30D:955E:10CC:DE2F:B0F1:6F3B,False,,76,98d4aff8a7966f10217c95382b95c037ea140c6f,,REDIRECT Twitter,False
44,1224921232,1224921206,2024-05-21T08:45:49Z,ClueBot NG,False,,77,d82e21d43f0cf07c2b250eb1e541b5e3af187bb2,,REDIRECT Twitter,True
45,1224921206,1224446674,2024-05-21T08:45:36Z,2A01:5A8:30D:955E:10CC:DE2F:B0F1:6F3B,False,,76,98d4aff8a7966f10217c95382b95c037ea140c6f,,REDIRECT Twitter,False
46,1224446674,1224446516,2024-05-18T13:25:23Z,Jace Aotearoa AU,False,,77,d82e21d43f0cf07c2b250eb1e541b5e3af187bb2,,REDIRECT Twitter,False
47,1224446516,1224440640,2024-05-18T13:24:00Z,Jace Aotearoa AU,False,,21,0ec240a4ac8b6486ed6a999ba13cd46e2d2b1521,,REDIRECT Twitter,False
48,1224440640,1224431051,2024-05-18T12:35:12Z,NY8642,False,,43,7f8dd481d2ffe4a3ef7ebee8135bfb41ab85042b,,REDIRECT TwitterPossible new article.,True
49,1224431051,1215470947,2024-05-18T11:11:05Z,TheMasterMind321,False,,21,0ec240a4ac8b6486ed6a999ba13cd46e2d2b1521,,REDIRECT Twitter,True
50,1215470947,1215470917,2024-03-25T09:58:56Z,Loytra,False,,73,e641d13e1e04a09a40cf5cab2537a9a034497fff,,REDIRECT Twitter,False
51,1215470917,1190623931,2024-03-25T09:58:30Z,Loytra,False,,75,4b52fe2240bd2e9392d96258f1f6753039182508,,REDIRECT Twitter,False
52,1190623931,1190622431,2023-12-18T23:43:10Z,InfiniteNexus,False,,73,e641d13e1e04a09a40cf5cab2537a9a034497fff,,REDIRECT Twitter,False
53,1190622431,1175937135,2023-12-18T23:28:46Z,2601:600:807F:A169:393A:30DD:E465:7238,False,,67,07f0fdcf7d892eb0f6e7b207210e10d9306a8f3b,,REDIRECT Twitter under Elon Musk,False
54,1180052320,0,2023-10-14T05:35:06Z,Musicalartist071,False,,78,17e6ecd3d789d4417f7a2478a5dc219779724338,,REDIRECT X under Elon Musk,False
55,1175937135,1175934452,2023-09-18T11:34:14Z,MSMST1543,False,,73,e641d13e1e04a09a40cf5cab2537a9a034497fff,,REDIRECT Twitter,False
56,1175934452,1175934070,2023-09-18T11:00:14Z,MusikBot II,False,,327027,45c3f0db005de740d2381664f8b34ef41a238792,,"X, formerly Twitter since late July 2023, is an online social media and social networking service operated by the American company X Corp., the successor of Twitter, Inc. On X, registered users can post texts, images and videos. Users can post, like, repost, comment and quote posts, and direct message other registered users. Users interact with X through browser or mobile frontend software, or programmatically via its application programming interfaces (APIs).Twitter, now X, was created in March 2006 by Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams. It was launched in July of that year. Its former parent company, Twitter, Inc., was based in San Francisco, California and had more than 25 offices around the world. , more than 100 million users produced 340 million tweets a day, and the service handled an average of 1.6 billion search queries per day. In 2013, it was one of the ten most-visited websites and has been described as ""the SMS of the Internet"". , Twitter had more than 330 million monthly active users. In practice, the vast majority of tweets are produced by a minority of users. In 2020, it was estimated that approximately 48 million accounts (15% of all accounts) were not genuine people.In October 2022, billionaire Elon Musk acquired Twitter for US$44 billion, gaining control of the platform and becoming CEO. Since the acquisition, the platform has been criticized for facilitating an increase in content containing hate speech. Linda Yaccarino succeeded Musk as CEO on June 5, 2023, with Musk remaining as Chairman and CTO. In July 2023, Musk announced that Twitter will be rebranded to X and that the bird logo will be phased out.",True
57,1175934070,1175308944,2023-09-18T10:55:01Z,2A00:23EE:1668:E253:48F3:749D:15A5:F609,False,,327057,5e70a402b07ee573b49396eb57c859d7f4a353ac,,"X, formerly Twitter since late July 2023, is an online social media and social networking service operated by the American company X Corp., the successor of Twitter, Inc. On X, registered users can post texts, images and videos. Users can post, like, repost, comment and quote posts, and direct message other registered users. Users interact with X through browser or mobile frontend software, or programmatically via its application programming interfaces (APIs).Twitter, now X, was created in March 2006 by Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams. It was launched in July of that year. Its former parent company, Twitter, Inc., was based in San Francisco, California and had more than 25 offices around the world. , more than 100 million users produced 340 million tweets a day, and the service handled an average of 1.6 billion search queries per day. In 2013, it was one of the ten most-visited websites and has been described as ""the SMS of the Internet"". , Twitter had more than 330 million monthly active users. In practice, the vast majority of tweets are produced by a minority of users. In 2020, it was estimated that approximately 48 million accounts (15% of all accounts) were not genuine people.In October 2022, billionaire Elon Musk acquired Twitter for US$44 billion, gaining control of the platform and becoming CEO. Since the acquisition, the platform has been criticized for facilitating an increase in content containing hate speech. Linda Yaccarino succeeded Musk as CEO on June 5, 2023, with Musk remaining as Chairman and CTO. In July 2023, Musk announced that Twitter will be rebranded to X and that the bird logo will be phased out.",False
58,1175308944,1175296929,2023-09-14T04:55:10Z,Aitraintheeditorandgamer,False,,73,e641d13e1e04a09a40cf5cab2537a9a034497fff,,REDIRECT Twitter,False
59,1175296929,1174057094,2023-09-14T02:27:43Z,DaCrashy,False,,80,c5937d8576fc438fc5786cd8817b4c00918712f0,,REDIRECT Twitter,False
60,1174057094,1170720257,2023-09-06T02:11:08Z,Aitraintheeditorandgamer,False,,73,e641d13e1e04a09a40cf5cab2537a9a034497fff,,REDIRECT Twitter,False
61,1170720257,1170717303,2023-08-16T20:08:15Z,JalenBarks,False,,80,c5937d8576fc438fc5786cd8817b4c00918712f0,,REDIRECT Twitter,True
62,1170717303,1166944603,2023-08-16T19:44:16Z,Napierjohnmy,False,,11,6a0d428e66f71928c4d0b359eee94a9b170c2268,,Gulig Mach.,False
63,1166944603,1166934099,2023-07-24T19:07:24Z,Koavf,False,,80,c5937d8576fc438fc5786cd8817b4c00918712f0,,REDIRECT Twitter,False
64,1166934099,1166884607,2023-07-24T17:40:37Z,FunLater,False,,101,ff4bb89e725aaf6617ca4ad05e9ff50268cf8d79,,REDIRECT Twitter,False
65,1166884607,1166778313,2023-07-24T10:22:01Z,Panam2014,False,,117,5f534c1772f9bdd4b1c9d26db54340b15e94840f,,REDIRECT Twitter under Elon Musk,False
66,1166778313,0,2023-07-23T18:08:44Z,Silencedoc,False,,101,ff4bb89e725aaf6617ca4ad05e9ff50268cf8d79,,REDIRECT Twitter,False
